an;cod_fiscal;nume;loc;str;nr;di;dp;fax;sect;tel;jud_com;nr_com;an_com;act_aut;tva;sfarsit;cp;data_stare;stare;judet;imp_100;imp_120;imp_200;imp_410;imp_416;imp_420;imp_423;imp_430;imp_439;imp_500;imp_602;imp_701;imp_710;imp_755;imp_756;bilanturi;bilantultim;imp_412;imp_480;imp_432;detalii_adresa;bloc;scara;etaj;ap;cod fiscal;CAEN;CAENO;I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34;I35;I36;I37;I38;I39;I40;I41;I42;I43;I44;I45;I46;DEN_CAENO;DEN_CAEN
2018;12999970;COMPOSESORAT DOBOSENI;Dobo≠eni;Dobo≠eni;143;20 Ianuarie   2016;02 Ianuarie   2018;;;;;;null;H.J. NR.793/17.04.2000;01-02-2003;null;527056;11 Mai        2000;INREGISTRAT;COVASNA;01-01-2004;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;12999970;210;9499;383281;1138934;227192;318256;1047870;1431151;0;108865;71906;1250380;0;1250380;383400;383400;383400;383400;0;0;0;0;0;0;0;0;0;0;0;0;2017143;2017143;1665499;1665499;351644;351644;0;0;2400543;2400543;2048899;2048899;351644;351644;0;0;4;4;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;12999989;"COMPOSESORATUL "" SOMOSAG "" MICLOSOARA";Miclo≠oara;Miclo≠oara;201;07 Noiembrie  2019;07 Noiembrie  2019;;;0743-037735;;;null;H.J. NR.748/14.04.2000;01-12-2019;null;525104;11 Mai        2000;INREGISTRAT;COVASNA;01-01-2004;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018;;01-01-2018;01-01-2018;01-01-2018;;;;;;12999989;210;9499;57404;207854;0;19257;188597;246001;9913;0;0;236088;0;236088;0;73120;0;1140;0;71980;0;0;0;0;0;0;0;0;0;0;0;320826;0;354481;0;0;0;33655;0;393946;0;355621;0;38325;0;0;0;2;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13000053;COMPOSESORAT SEPSIKOROSPATAK;Valea Cri≠ului;Valea Cri≠ului;372;15 Ianuarie   2020;15 Ianuarie   2020;;;067-311952;;;null;H.J. NR.604/24.03.2000;01-10-2016;null;527165;11 Mai        2000;INREGISTRAT;COVASNA;01-01-2004;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13000053;9499;9499;5225;115742;0;69487;46255;51480;0;0;0;51480;0;51480;0;155460;0;155460;0;0;0;0;0;0;0;0;0;0;0;0;0;286148;0;274602;0;11546;0;0;0;441608;0;430062;0;11546;0;0;0;2;Activitati ale altor organizatii n.c.a.;Activitati ale altor organizatii n.c.a.
2018;13000070;COMPOSESORATUL BRADUT;Br«duÓ;Br«duÓ;297;28 Ianuarie   2020;30 Ianuarie   2020;;;0758943687;;;null;NR.791/17.04.2000;01-08-2008;null;527055;11 Mai        2000;INREGISTRAT;COVASNA;01-01-2005;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13000070;210;9499;202833;1555748;4911;77213;1483446;1686279;0;0;0;1686279;0;1686279;270739;376617;270739;376617;0;0;0;0;0;0;0;0;0;0;0;0;878918;1021110;467892;411595;411026;609515;0;0;1149657;1397727;738631;788212;411026;609515;0;0;0;3;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13022361;COMPOSESORATUL CALNIC;CÉlnic;Calnic;13;20 Februarie  2017;27 Februarie  2017;;;;;;null;792/17.04.2000;01-02-2007;null;527167;18 Mai        2000;INREGISTRAT;COVASNA;31-12-2016;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;NU;NU;NU;;;;;;13022361;0;9499;79468;1481287;0;32405;1448882;1528350;0;0;0;1528350;0;1528350;0;9159;0;0;0;9159;0;0;0;0;0;0;0;0;0;0;0;302300;0;175962;0;126338;0;0;0;311459;0;175962;0;135497;0;0;0;;Activitati ale altor organizatii n.c.a.;Fara activitate economica
2018;13022400;COMPOSESORATUL UNIFICATE MICFALAU;Micfal«u;Micfal«u;165;26 Ianuarie   2015;02 Ianuarie   2018;;;379618;;;null;738/14.04.2000;01-01-2010;null;527115;18 Mai        2000;INREGISTRAT;COVASNA;01-01-2004;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018;;01-01-2018;01-01-2018;01-01-2018;;;;;;13022400;210;9499;103217;411130;0;28807;382323;485540;0;0;0;485540;0;485540;495200;889885;616700;879834;0;10051;121500;0;0;0;0;0;0;0;0;0;196000;197013;70100;94419;125900;102594;0;0;691200;1086898;686800;974253;4400;112645;0;0;12;12;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13022469;COMPOSESORATUL AITA MARE - NAGYAJTAI KOZBIRTOKOSSAG;Aita Mare;Aita Mare;324;22 Ianuarie   2015;02 Ianuarie   2018;;;;;;null;744/14.04.2000;01-11-2001;null;527005;18 Mai        2000;INREGISTRAT;COVASNA;01-01-2003;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2012;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018;;01-01-2018;01-01-2018;01-01-2018;;;;;;13022469;210;9499;347838;66656;0;44934;-223128;124710;0;0;244850;104458;20252;124710;88851;88851;88851;88851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88851;88851;88851;88851;0;0;0;0;1;;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13022582;COMPOSESORATUL SATULUI TALISOARA;T«li≠oara;T«li≠oara;43;14 Ianuarie   2020;14 Ianuarie   2020;0267378094;;0747509587;;;null;790/17.04.2000;01-07-2004;null;527058;18 Mai        2000;INREGISTRAT;COVASNA;01-01-2003;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2017;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018;;01-01-2018;01-01-2018;01-01-2018;;;;;;13022582;210;9499;1026297;1318022;594;255256;1063360;2089657;0;0;0;2089657;0;2089657;100;17876;100;13022;0;4854;0;0;0;0;0;0;0;0;0;0;626350;667511;329746;316320;296604;351191;0;0;626450;685387;329846;329342;296604;356045;0;0;0;5;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13022590;COMPOSESORATUL DE PADURE VARGHIS;VÉrghi≠;VÉrghis;432;27 Ianuarie   2014;02 Ianuarie   2018;;;376288;;;null;794/17.04.2000;01-10-2003;null;527180;18 Mai        2000;INREGISTRAT;COVASNA;01-01-2004;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018;;01-01-2018;01-01-2018;01-01-2018;;;;;;13022590;210;9499;1219249;1307306;0;141978;1165328;2384577;0;0;0;2384577;0;2384577;280000;290841;280000;290841;0;0;0;0;0;0;0;0;0;0;0;0;1768000;1757926;1157000;1222729;611000;535197;0;0;2048000;2048767;1437000;1513570;611000;535197;0;0;0;11;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
2018;13022612;COMPOSESORATUL FILIA;Filia;Filia;83/A;28 Ianuarie   2015;02 Ianuarie   2018;;;0267376499;;;null;698/07.04.2000;01-12-2003;null;527057;18 Mai        2000;INREGISTRAT;COVASNA;01-01-2003;NU;NU;NU;NU;NU;NU;NU;NU;NU;01-01-2011;NU;NU;NU;NU;WEB_ONG_AN2014,WEB_ONG_AN2015,WEB_ONG_AN2016,WEB_ONG_AN2017,WEB_ONG_AN2018,WEB_ONG_AN2019;;01-01-2018;01-01-2018;01-01-2018;;;;;;13022612;210;9499;15482;1139413;0;162780;976633;992115;0;0;132;991983;0;991983;0;278560;0;278560;0;0;0;0;0;0;0;0;0;0;0;0;0;1259038;0;798436;0;460602;0;0;0;1537598;0;1076996;0;460602;0;0;4;4;Activitati ale altor organizatii n.c.a.;Silvicultura si alte activitati forestiere
